Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
HW538793,9395020,11/18/2013 07:20:00 PM,076XX N EASTLAKE TER,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,2422,49,6,1165950,1950607,2013,11/29/2013 09:08:24 PM,42.020052611,-87.66465005,"(42.020052611, -87.66465005)"
HW536273,9392915,11/16/2013 06:30:00 PM,064XX N ARTESIAN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2412,50,6,1158860,1942495,2013,11/29/2013 09:07:42 PM,41.997942061,-87.69096469,"(41.997942061, -87.69096469)"
HW534599,9391648,11/15/2013 02:13:00 PM,061XX N WESTERN AVE,820,THEFT,$500 AND UNDER,DRUG STORE,FALSE,FALSE,2413,50,6,1159164,1940863,2013,11/29/2013 09:06:46 PM,41.993457529,-87.689891491,"(41.993457529, -87.689891491)"
HW532387,9388870,11/13/2013 07:07:00 PM,0000X E JACKSON BLVD,890,THEFT,FROM BUILDING,"SCHOOL, PRIVATE, BUILDING",FALSE,FALSE,113,2,6,1176463,1898964,2013,11/29/2013 12:53:59 PM,41.878111099,-87.627528383,"(41.878111099, -87.627528383)"
HW533723,9390284,11/14/2013 07:40:00 PM,091XX S COMMERCIAL AVE,820,THEFT,$500 AND UNDER,PARK PROPERTY,FALSE,TRUE,423,10,6,1197687,1845133,2013,05/15/2014 12:36:49 PM,41.729890988,-87.551398796,"(41.729890988, -87.551398796)"
HW531468,9388145,11/13/2013 09:10:00 AM,036XX W ADDISON ST,810,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,1732,35,6,1151461,1923730,2013,11/29/2013 01:59:34 PM,41.9465988,-87.71867842,"(41.9465988, -87.71867842)"
HW543493,9400676,11/22/2013 08:40:00 AM,003XX N CENTRAL AVE,810,THEFT,OVER $500,APARTMENT,FALSE,TRUE,1512,29,6,1138946,1901626,2013,11/29/2013 10:27:42 AM,41.886179981,-87.765218543,"(41.886179981, -87.765218543)"
HW543465,9400824,11/21/2013 08:00:00 PM,038XX W WRIGHTWOOD AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2524,30,6,1150015,1916968,2013,11/29/2013 09:58:22 AM,41.928071643,-87.72417013,"(41.928071643, -87.72417013)"
HW543669,9400852,11/21/2013 02:30:00 PM,047XX W ARMITAGE AVE,890,THEFT,FROM BUILDING,WAREHOUSE,FALSE,FALSE,2522,31,6,1144609,1912919,2013,11/29/2013 10:11:16 AM,41.917064456,-87.744137623,"(41.917064456, -87.744137623)"
HW543659,9400871,11/21/2013 08:00:00 PM,026XX N RACINE AVE,810,THEFT,OVER $500,RESIDENCE-GARAGE,FALSE,FALSE,1932,32,6,1167816,1917576,2013,11/29/2013 11:34:15 AM,41.929374361,-87.658740532,"(41.929374361, -87.658740532)"
HW543792,9400971,11/22/2013 12:15:00 PM,039XX N SHERIDAN RD,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1923,44,6,1168853,1926456,2013,11/29/2013 10:33:05 AM,41.953719015,-87.654671537,"(41.953719015, -87.654671537)"
